ID	word	pos	lemma	hyperlemma	sahidic_word	tla	CDO	crum_cs_lemmatization_match	crum_cs_pos_match	crum_no_sahidic	sahidic_in_cs	score	freq	page	marcion	lemma_error	pos_error	notes
40	ⲉ	PPERO	ⲛⲑⲟ	ⲛⲧⲟ	ⲉ	C4008		0	0	0	0	0	934	_	_			
42	ⲉ	PPERS	ⲛⲑⲟ	ⲛⲧⲟ	ⲉ	C4009		0	0	0	0	0	934	_	_			
43	ⲉ	PREP	ⲉ	ⲉ	ⲉ	C615		0	0	0	0	0	934	_	_			
45	.	PUNCT	.	.	.	MISSING		0	0	0	0	0	820	_	_			obviously no TLA IDs for punctuation
46	ⲛⲁ	CPRET	ⲛⲁⲣⲉ	ⲛⲉⲣⲉ	ⲛⲉ	C2385		0	0	0	0	0	732	_	_			
48	ⲛⲁ	FUT	ⲛⲁ	ⲛⲁ	ⲛⲁ	C2381	those of	1	1	1	1	1	732	259a	possessive article, the ... belonging to, the man of			
49	ⲛⲁ	PPOS	ⲡⲁ	ⲡⲁ	ⲛⲁ	C2354		0	0	0	0	0	732	_	_			
50	ⲛⲁ	PPOS	ⲫⲁ	ⲫⲁ	ⲛⲁ	C2354		0	0	0	0	0	732	_	_			
52	ⲛⲁ	PREP	ⲛⲁ	ⲛⲁ	ⲛⲁ	C2350		0	0	0	0	0	732	_	_			verify lemma not N- (we discussed previously to use NA- lemma for n- na= and N- lemma for N- MMO=) - also see no. 17 above (search C2350)
53	ⲛⲁ	V	ⲛⲁ	ⲛⲁ	ⲛⲁ	C2371	to go	0	0	0	0	0	732	_	_			
54	ⲡⲓ	ART	ⲡ	ⲡ	ⲙ	C2783	the	1	0	1	1	0.75	611	258b	definite article			why is Sah_word M?
57	ⲩ	ART	ⲟⲩ	ⲟⲩ	ⲩ	C4880	a	0	0	0	0	0	607	_	_			
58	ⲩ	PPERO	ⲛⲑⲱⲟⲩ	ⲛⲧⲟⲟⲩ	ⲩ	C2566	they	0	0	0	0	0	607	_	_			
59	ⲩ	PPERS	ⲛⲑⲱⲟⲩ	ⲛⲧⲟⲟⲩ	ⲩ	C2566	they	0	0	0	0	0	607	_	_			
61	ⲉⲧ	APREC	ⲉⲧ	ⲉⲧ	ⲉⲧ	C2561		0	0	0	0	0	586	_	_			verify boh lemma, should be ⲉⲧⲁ, not ⲉⲧ. Also, looking at Boh Mark there are many APREC, but I'm not sure some are segmented correctly. E.g. at Mark 1.43 I see ⲉⲧ|ⲁ|ϥ|ⲥⲣⲉⲙⲣⲱⲙ|ϥ APREC|APST|PPERS|V|PPERO, but should it be ⲉⲧⲁ|ϥ|ⲥⲣⲉⲙⲣⲱⲙ|ϥ APREC|PPERS|V|PPERO?
63	ⲉⲧ	CFOC	ⲁⲣⲉ	ⲉⲣⲉ	ⲛⲧ	C618		1	1	1	1	1	586	61a	(before liquids & half-vowels), also ⲉⲧⲉ- rel pref			must be ppos err
64	ⲉⲧ	CREL	ⲉⲧⲉ	ⲉⲧⲉⲣⲉ	ⲉⲧ	C737		0	0	0	0	0	586	_	_			
66	ϫⲉ	CONJ	ϫⲉ	ϫⲉ	ϫⲉ	C7055	namely, that	1	1	1	1	1	542	772a	or			
67	ϫⲉ	V	ϫⲱ	ϫⲱ	ϫⲉ	C7089	to say	0	0	1	1	0.5	542	802a	enclitic particle ― then, therefore, but ― again, once more ―― in neg phrase ―― not negative			
68	ⲥ	PPERO	ⲛⲑⲟⲥ	ⲛⲧⲟⲥ	ⲥ	C3262	she	0	0	0	0	0	523	_	_			
70	ⲥ	PPERS	ⲛⲑⲟⲥ	ⲛⲧⲟⲥ	ⲥ	C3261	she	0	0	0	0	0	523	_	_			
72	ⲙ	PREP	ⲛ	ⲛ	ⲙ	C2349	with, by	0	0	0	0	0	497	_	_			
73	ϧⲉⲛ	PREP	ϧⲉⲛ	ϩⲛ	ϩⲛ	C6668	in, at, on	1	0	1	1	0.75	483	683a	of place in, at, on of time by, with as agent			
75	ϯ	ART	ⲡⲓ	ⲡ	ⲧ	NONE		0	0	0	0	0	452	_	_			verify that we are not distinguishing between weak/strong art in Boh
79	ϯ	PPERS	ⲁⲛⲟⲕ	ⲁⲛⲟⲕ	ϯ	C11278		0	0	0	0	0	452	_	_			
80	ϯ	V	ϯ	ϯ	ϯ	C4050,C4020	smite, hit, fight; give, pay, sell	1	1	1	1	1	452	392a	(intransitive) ― give, pay & related meanings (διδοναι) ― fight (transitive) ― mostly c dat ― pay ― sell S ― smite (τυπτειν) imperative ― with ϯ ― not as imperative B ― ϫⲓⲛⲙ. (qualitative) given, being upon p c, giver			
81	ⲛⲧⲉ	ACONJ	ⲛⲧⲉ	ⲛⲧⲉ	ⲛⲧⲉ	C2531		1	1	1	1	1	445					
83	ⲛⲧⲉ	PREP	ⲛⲧⲉ	ⲛⲧⲉ	ⲛⲧⲉ	C2533		0	0	0	0	0	445	230a	particle of genitive, used ― for greater precision than ⲛ- ― where preceding word has indefinite article ― between 2 names (persons or places) ― after foregoing gen or after attribute (adj or rel) ― after strong art ⲛⲧⲁ= &c, indicates possession, ownership (esp in B)			
84	ⲡ	ART	ⲡ	ⲡ	ⲡ	C2783		0	0	0	0	0	444	_	_			
86	ⲡ	COP	ⲡⲉ	ⲡⲉ	ⲡ	C2786		0	0	0	0	0	444	_	_			
87	ⲛⲓ	ART	ⲡ	ⲡ	ⲡ	C2783	the	1	0	1	1	0.75	415	258b	definite article			
90	ⲫ	ART	ⲡ	ⲡ	ⲡ	C2783	the	1	0	1	1	0.75	358	258b	definite article			
92	ⲓ	PPERO	ⲁⲛⲟⲕ	ⲁⲛⲟⲕ	ⲓ	C11278		0	0	0	0	0	351	_	_			
94	ⲓ	PPERS	ⲁⲛⲟⲕ	ⲁⲛⲟⲕ	ⲓ	C11278		0	0	0	0	0	351	_	_			
95	ⲓ	V	ⲓ	ⲉⲓ	ⲓ	C825,C826	be about to; come, go	1	1	1	1	1	351	70a	(intransitive) come, go (ερχεσθαι, ηκειν) as auxil. or subsidiary, be about to			
97	ⲉⲃⲟⲗ	ADV	ⲉⲃⲟⲗ	ⲉⲃⲟⲗ	ⲉⲃⲟⲗ	C417	out, forth, outward	0	0	1	1	0.5	341	121b	(transitive) bend, entwine (συγκαμπτειν) stretch out, extend (εκτεινειν)			
98	ⲙⲙⲟ	PREP	ⲛ	ⲛ	ⲙⲙⲟ	C2348		1	0	1	1	0.75	315	215a	particle ― of genitive ― partitive ―― (εκ) ―― after rel (complementary) ―― esp local with ⲙⲁ B ―― with vbs ⲟⲩⲟⲛ, ⲙⲙⲟⲛ ― adjectival ―― adj after nn ―― nn after adj ― attributive indicating obj of vb ― tr ― intr & qual ―― as, for, εις ― refl			
99	ⲧⲉⲛ	PPERO	ⲛⲑⲱⲧⲉⲛ	ⲛⲧⲱⲧⲛ	ⲧⲉⲧⲛ	C4610		0	0	0	0	0	302	_	_			
100	ⲧⲉⲛ	PPERS	ⲛⲑⲱⲧⲉⲛ	ⲛⲧⲱⲧⲛ	ⲧⲉⲧⲛ	C4610		0	0	1	1	0.5	302	445a	(intransitive) arise (ανισταναι, εγειρειν, αιρειν) (transitive) raise, carry (απαιρειν)			
104	ⲧⲉⲛ	PPOS	ⲡⲉⲛ	ⲡⲉⲛ	ⲧⲉⲛ	MISSING		0	0	0	0	0	302	_	_			
106	ⲛⲉⲙ	PREP	ⲛⲉⲙ	ⲙⲛ	ⲙⲛ	C1901	with	1	0	1	1	0.75	280	169b	prep, with (μετα, συν, προς, εν, και) conjunct, and			
107	ⲡⲉ	ART	ⲡ	ⲡ	ⲡⲉ	C2783		0	0	0	0	0	261	_	_			
108	ⲡⲉ	COP	ⲡⲉ	ⲡⲉ	ⲡⲉ	C2788	sg. masc. copula (nexus pronoun)	1	1	1	1	1	261	260b	enclitic of ⲡⲏ &c, joins subj & predic in nominal clause			
110	ⲛϫⲉ	PTC	ⲛϫⲉ	ⲛϭⲓ	ⲛϭⲓ	C2723	namely	0	0	1	1	0.5	236	746b	conjunction (from ϫⲱ say) ― apposition, namely ― after vbs call, name ― before direct statement or question ―― οτι ―― καθοτι ―― διοτι ― explicative, because ― final, ινα ―― vb inf ― ellipse ― ει, if, whether ― after Gk particles			
111	ϩⲁⲛ	ART	ⲟⲩ	ⲟⲩ	ϩⲉⲛ	C4880	indef art	0	0	0	0	0	218	_	_			
114	ⲁⲛ	NEG	ⲁⲛ	ⲁⲛ	ⲁⲛ	C120		0	0	0	0	0	218	_	_			
116	ⲁⲛ	PTC	ⲁⲛ	ⲉⲛⲉ	ⲉⲛⲉ	C678,C677	interrogative particle; verbal präfix of unfulfiled condition	1	0	1	1	0.75	218	56b	interrogative particle, precedes subj			
117	ⲛⲱ	PREP	ⲛⲁ	ⲛⲁ	ⲛⲏ	C2350		0	0	0	0	0	191	_	_			Verify, as above (search C2350), that hyperlemma is not N-
121	ⲛⲏ	PDEM	ⲫⲏ	ⲡⲏ	ⲛⲏ	C2794		0	0	0	0	0	161	_	_			
123	ⲛⲏ	PREP	ⲛⲁ	ⲛⲁ	ⲛⲏ	C2794	that (one)	0	0	1	1	0.5	161	260b	demonstrative pronoun (cf ⲡⲁⲓ) (εκεινος, η, ο)			
125	ϫⲱ	V	ϫⲱ	ϫⲱ	ϫⲱ	C7091,C7097,C7089,C7098	head; singing, song	1	0	1	1	0.75	158	756a	head (κεφαλη) inanimate (κεφαλη, κορυφη)			
126	ⲣⲏϯ	N	ⲣⲏϯ	ⲣⲏⲧⲉ	ⲣⲏⲧⲉ	C3185	manner, fashion, likeness	1	1	1	1	1	155	304b	manner, fashion, likeness (ειδεα)			
127	ⲛⲟⲩϯ	N	ⲛⲟⲩϯ	ⲛⲟⲩⲧⲉ	ⲛⲟⲩⲧⲉ	C2535	god	1	1	1	1	1	154	230b	god (θεος) as adj, godly, divine (θειος)			
131	ⲉⲧⲉ	CREL	ⲉⲧⲉ	ⲉⲧⲉ	ⲉⲧⲉ	C737		0	0	0	0	0	151	_	_			
133	ⲟⲩⲟⲛ	EXIST	ⲟⲩⲟⲛ	ⲟⲩⲛ	ⲟⲩⲛ	C5038		0	0	0	0	0	146	_	_			
134	ⲟⲩⲁⲓ	N	ⲟⲩⲁⲓ	ⲟⲩⲁ	ⲟⲩⲁ	C4896,C4894,C4895	one, someone	1	0	1	1	0.75	146	469a	one, someone (εις, τις, ετερος)			
135	ⲟⲩⲟⲛ	N	ⲟⲩⲟⲛ	ⲟⲩⲟⲛ	ⲟⲩⲟⲛ	C5057	someone, something	1	0	1	1	0.75	146	482a	some one, something, some (τις, πας, αυτος, τοιουτος)			
136	ⲟⲩⲁⲓ	NUM	ⲟⲩⲁⲓ	ⲟⲩⲁ	ⲟⲩⲁ	C4894,C4895,C4896		0	0	0	0	0	146	_	_			verify - in tagset docs, ⲟⲩⲁ is listed as NUM, but in CDO as N; mixed exx in scriptorium; cf. no135 above
138	ⲥⲉ	PPERS	ⲛⲑⲱⲟⲩ	ⲛⲧⲟⲟⲩ	ⲥⲉ	C2566	they	0	0	1	1	0.5	144	318a	drink ― intr: (πινειν, ποτιζεσθαι) ― tr: (πινειν, εκπινειν, υδροποτειν) p c, drinker			
140	ⲥⲉ	PTC	ⲥⲉ	ⲥⲉ	ⲥⲉ	C3285		0	0	0	0	0	144	_	_			
142	ⲫⲏ	PDEM	ⲫⲏ	ⲡⲏ	ⲡⲏ	C2794		0	0	0	0	0	129	_	_			
143	ⲕ	PPERO	ⲛⲑⲟⲕ	ⲛⲧⲟⲕ	ⲕ	C1035	you	0	0	0	0	0	128	_	_			
144	ⲕ	PPERS	ⲛⲑⲟⲕ	ⲛⲧⲟⲕ	ⲕ	C1036	you	0	0	0	0	0	128	_	_			
145	ⲡⲁⲓ	PDEM	ⲡⲁⲓ	ⲡⲁⲓ	ⲡⲁⲓ	C2800		0	0	0	0	0	126	_	_			
148	ϣⲱⲡⲓ	N	ϣⲱⲡⲓ	ϣⲱⲡⲉ	ϣⲱⲡⲉ	C6002	cucumber, gourd	1	1	1	1	1	125	580b	cucumber, gourd (σικυς, σικιδιον)			
149	ϣⲱⲡⲓ	V	ϣⲱⲡⲓ	ϣⲱⲡⲉ	ϣⲱⲡⲉ	C5995	become, befall, be, exist	1	1	1	1	1	125	577b	(intransitive) become, befall (ειναι, γινεσθαι) impersonal, befall (γινεσθαι, συμβαινειν) ― 3d sg f ― 3d sg m (qualitative) be, exist			
150	ⲧⲏⲣ	IMOD	ⲧⲏⲣ	ⲧⲏⲣ	ⲧⲏⲣ	C4445	all, whole, every	1	0	1	1	0.75	118	424a	adj with suff, all, whole, every (απας)			
151	ⲉⲣⲟ	PREP	ⲉ	ⲉ	ⲉⲣⲟ	C615	to, for, according to, as regards	1	0	1	1	0.75	116	50a	dative to, for, according to, as regards purpose for, in order to about, because of from, by means of direction towards, to in hostile sense against ethic dative ...			
152	ⲉⲣⲟ	PREP_PPERO	ⲉ_ⲛⲑⲟ	ⲉ_ⲛⲧⲟ	ⲉⲣⲟ	C615_C2534		0	0	0	0	0	116	_	_			verify - do the combined pos get a tla? for now, I just put the same tla as ERO above
153	ⲡⲉϫⲁ	VBD	ⲡⲉϫⲉ	ⲡⲉϫⲉ	ⲡⲉϫⲁ	C3017		0	0	0	0	0	110	_	_			
156	ⲣⲱⲙⲓ	N	ⲣⲱⲙⲓ	ⲣⲱⲙⲉ	ⲣⲱⲙⲉ	C3095,C3094,C3093,C3092	any one, no one (after negation); man, human being; human	1	1	1	1	1	104	294b	man, human being (ανθρωπος, ανηρ) adj, human any one, no one kinsman, friend, serving-man			
157	ⲧ	ART	ⲡ	ⲡ	ⲧ	C2783	the	1	0	1	1	0.75	103	258b	definite article			
158	ⲙⲏϣ	N	ⲙⲏϣ	ⲙⲏⲏϣⲉ	ⲙⲏⲏϣⲉ	C2203	multitude (persons or things), crowd, troop	1	1	1	1	1	103	202a	multitude (persons or things), crowd, troop (πολυς, πολλοι, πλητος, λαος, δημος, οχλος) + gen ⲛ- as adj, many, great as adverb, greatly			
159	ⲧ	PPERO	ⲁⲛⲟⲕ	ⲁⲛⲟⲕ	ⲧ	C11278		0	0	0	0	0	103	_	_			
160	ⲥⲁϫⲓ	N	ⲥⲁϫⲓ	ⲥⲁϫⲓ	ⲥⲁϫⲓ	C6217	speech	0	0	0	0	0	101	_	_			
161	ⲥⲁϫⲓ	V	ⲥⲁϫⲓ	ϣⲁϫⲉ	ϣⲁϫⲉ	C6216	speak, say	1	1	1	1	1	101	612b	(intransitive) speak (λαλειν, λεγειν) (transitive) A,B, speak, say (λαλειν, ερευγεσθαι)			
162	ⲕⲉ	ART	ⲕⲉ	ⲕⲉ	ⲕⲉ	C1042	also, even	0	0	0	0	0	100	_	_			verify - this is listed as N in cdo; I have it as ART, just like the tagset documention says
166	ⲛⲓⲃⲉⲛ	PINT	ⲛⲓⲃⲉⲛ	ⲛⲓⲙ	ⲛⲓⲙ	C2475	every	1	0	1	1	0.75	98	225b	every ― as pl (oftenest) (πας) ― as sg (πας) ― with sg art or pron (πας) ― no concord shown (πας)			
167	ⲑⲏⲛⲟⲩ	PPERO	ⲛⲑⲱⲧⲉⲛ	ⲛⲧⲱⲧⲛ	ⲧⲉⲧⲛ	C4610		0	0	0	0	0	89	_	_			
168	ⲉⲑⲃⲉ	PREP	ⲉⲑⲃⲉ	ⲉⲧⲃⲉ	ⲉⲧⲃⲉ	C739	because of, concerning	1	0	1	1	0.75	87	61a	because of, concerning (δια, ενεκα)			
169	ϭⲟⲓⲥ	N	ϭⲟⲓⲥ	ϫⲟⲉⲓⲥ	ϫⲟⲉⲓⲥ	C7376	lord, master	0	0	0	0	0	83	_	_			
170	ⲡⲉϥ	PPOS	ⲡⲉϥ	ⲡⲉϥ	ⲡⲉϥ	MISSING		0	0	0	0	0	82	_	_			
171	ⲛⲁⲩ	N	ⲛⲁⲩ	ⲛⲁⲩ	ⲛⲁⲩ	C2589	hour, time	1	1	1	1	1	81	234b	hour, time (καιρος, ωρα) daylight | morning, early hour ⲛⲛ., ⲫⲛ. ⲛϣⲱⲣⲡ midday ⲛⲛ. ⲙⲙⲉⲉⲣⲉ evening ⲛⲛ., ⲫⲛ. ⲛⲣⲟⲩϩⲉ, -ϩⲓ, ϩⲁⲛⲁⲣⲟⲩϩⲓ			
172	ⲛⲁⲩ	V	ⲛⲁⲩ	ⲛⲁⲩ	ⲛⲁⲩ	C2578	look, behold	1	1	1	1	1	81	233b	(intransitive) look, behold ― no obj (οραν, ιδειν, βλεπειν) ―― with ϫⲉ-, see that, how ― c ⲉ-, sometimes + ethic dat ― with ⲉ- dat commodi ―― provide, seek out			
173	ϣⲁ	AAOR	ϣⲁⲣⲉ	ϣⲁⲣⲉ	ϣⲁ	C6025	AAOR, aorist	1	1	1	1	1	74	629a	particle of apposition before pronoun or art			
175	ϣⲁ	PREP	ϣⲁ	ϣⲁ	ϣⲁ	C5675	to, toward	0	0	0	0	0	74	_	_			
176	ϩⲓ	PREP	ϩⲓ	ϩⲓ	ϩⲓ	C6389,C6387	threshing; on, at, in	1	0	1	1	0.75	72	643b	on, at, in in adjectival & participial phrases concerning (περι) with from, out of under, in time of, presence of at time of and ― or			
177	ϩⲓ	V	ϩⲓⲟⲩⲓ	ϩⲓⲟⲩⲉ	ϩⲓ	C6977	strike, cast, lay	1	1	1	1	1	72	732b	(intransitive) be struck, whetted (οξυνειν) (qualitative) B (transitive) strike, cast, lay (δερειν, καταβαλλειν)			
179	ϩⲓ	V	ϩⲓⲟⲩⲓ	ϩⲓⲟⲩⲉ	ϩⲓ	x		0	0	0	0	0	72	_	_			error? same as cell 178
180	ϩⲓ	V	ϩⲓ	ϩⲓ	ϩⲓ	C6386	beat	0	0	0	0	0	72	_	_			
181	ⲉⲙⲓ	N	ⲉⲙⲓ	ⲉⲓⲙⲉ	ⲉⲓⲙⲉ	C898,C897		0	0	0	0	0	69	_	_			verify - no direct Sah equivalent, do we leave hyperlemma and Sahidic_word as is or?
182	ⲧⲉⲧⲉⲛ	PPERS	ⲛⲑⲱⲧⲉⲛ	ⲛⲧⲱⲧⲛ	ⲧⲉⲧⲛ	C4610		0	0	0	0	0	69	_	_			
184	ⲧⲉⲧⲉⲛ	PPOS	ⲡⲉⲧⲉⲛ	ⲡⲉⲧⲛ	ⲡⲉⲧⲛ	MISSING		0	0	0	0	0	69	_	_			
186	ⲉⲙⲓ	V	ⲉⲙⲓ	ⲉⲓⲙⲉ	ⲉⲓⲙⲉ	C897	know, understand	1	1	1	1	1	69	77b	(intransitive) know, understand ― without obj (γινωσκειν, ειδεναι, συνειδεναι, συνιεναι, μανθανειν, νοειν) ― + ϫⲉ ― with ethic dat ― direct obj, as if constr (rare ? incorrect) ― obj with ⲉ- ― with ⲉⲧⲃⲉ- ― with ⲛ- B (rare)			
187	ϩⲗⲓ	N	ϩⲗⲓ	ϩⲗⲓ	x	C6534	anyone, anything, something	1	1	0	0	0.5	68	667b	used as pronoun, mostly S,A,sA,F ― positive, anyone, anything, something ― negative, nothing ― with Copt neg (oftenest), no one, nothing ― advb, at all			
188	ϭⲓ	N	ϭⲓ	ϫⲓ	ϫⲓ	C7069,C7066	breast, nipple; taking, bringing	1	1	1	1	1	67	751b	breast, pap			
189	ϭⲓ	V	ϭⲓ	ϫⲓ	ϫⲓ	C7058	receive, take	1	1	1	1	1	67	747b	(intransitive) ― receive, take (λαμβανειν, δεχεσθαι, κομιζεσθαι) ― take wife, marry (γαμειν) ― touch, reach, hit (transitive) ― take, get, bring, accept (λαμβανειν) ― have, be provided with ― touch, reach, hit ― learn (by heart) ― buy S			
190	ϩⲏⲧ	N	ϩⲏⲧ	ϩⲏⲧ	ϩⲏⲧ	C6887	tip, edge	1	1	1	1	1	66	718a	tip, edge (ακρον)			
191	ϩⲏⲧ	N	ϩⲏ	ϩⲏ	ϩⲏⲧ	C6372,C6373		0	0	0	0	0	66	_	_			
192	ⲉϣⲱⲡ	CONJ	ⲉϣⲱⲡ	ⲉϣⲱⲡⲉ	ⲉϣⲱⲡⲉ	C6001	when, if	0	0	0	0	0	65	_	_			
193	ⲙⲙⲱ	PREP	ⲛ	ⲛ	ⲙⲙⲱ	C2349	with, by, in, to, from	0	0	0	0	0	65	_	_			
194	ⲓⲉ	CONJ	ⲓⲉ	ⲉⲓⲉ	ⲉⲓⲉ	C870	or, whether	1	0	1	1	0.75	64	74a	introducing apodosis, then (αρα, και, αλλα) unless, without interjection strengthening next word, well then, surely conjunction, or, whether ... or			
195	ⲛⲁⲓ	PDEM	ⲡⲁⲓ	ⲡⲁⲓ	ⲛⲁⲓ	C2800		0	0	0	0	0	64	_	_			
196	ⲛⲁⲓ	PDEM	ⲫⲁⲓ	ⲡⲁⲓ	ⲛⲁⲓ	C2800		0	0	0	0	0	64	_	_			verify - see cell 147
197	ⲛⲉϥ	PPOS	ⲡⲉϥ	ⲡⲉϥ	ⲛⲉϥ	MISSING		0	0	1	1	0.5	64	238b	sailor (ναυτης) head sailor sailor at prow, pilot ferryman			
198	ⲛⲁⲓ	V	ⲛⲁⲓ	ⲛⲁ	ⲛⲁ	C2356	to pity	0	0	1	1	0.5	64	259a	demonstrative pronoun ― absolute, this cf ⲛⲏ ― construct ⲡⲉⲓ-,ⲧⲉⲓ-,ⲛⲉⲓ- SAF, ⲛⲉ- &c S, ⲛⲉⲉⲓ- &c sA, ⲡⲁⲓ-,ⲧⲁⲓ-,ⲛⲁⲓ- BO, ⲡⲓ-,ϯ-,ⲛⲓ- SABFO			
199	ⲙⲁ	N	ⲙⲁ	ⲙⲁ	ⲙⲁ	C1771	place	1	0	1	1	0.75	63	155b	imperative of ϯ, give, & of causatives formed with ⲧ- (ϯ)			
201	ⲙⲁ	VIMP	ϯ	ϯ	ⲙⲁ	C1781,C4050,C4020		0	0	0	0	0	63	_	_			
203	ⲉϧⲟⲩⲛ	ADV	ⲉϧⲟⲩⲛ	ⲉϩⲟⲩⲛ	ⲉϩⲟⲩⲛ	C6679	inward	0	0	0	0	0	62	_	_			
204	ⲙⲙⲟⲛ	EXIST	ⲙⲙⲟⲛ	ⲙⲙⲛ	ⲙⲙⲛ	C1890	not to be	0	0	0	0	0	62	_	_			
206	ⲙⲙⲟⲛ	PTC	ⲙⲙⲟⲛ	ⲙⲙⲟⲛ	ⲙⲙⲟⲛ	C1897	really, for	1	0	1	1	0.75	62	169a	verily, for (η μην, και, γαρ)			
207	ⲉⲣⲉ	CCIRC	ⲉⲣⲉ	ⲉⲣⲉ	ⲉⲣⲉ	C619		1	1	1	1	1	61	52a	2 present, 2 futurum, 3 futurum			
208	ⲁⲛⲟⲕ	PPERI	ⲁⲛⲟⲕ	ⲁⲛⲟⲕ	ⲁⲛⲟⲕ	C135	I	1	1	1	1	1	61	11b	1 sg mf			
209	ⲙⲙⲁⲩ	ADV	ⲙⲙⲁⲩ	ⲙⲙⲁⲩ	ⲙⲙⲁⲩ	C2156		0	0	0	0	0	60	_	_			
210	ⲉⲣⲱ	PREP	ⲉ	ⲉ	ⲉⲣⲱ	C615	to, for, according to, as regards	1	0	1	1	0.75	60	50a	dative to, for, according to, as regards purpose for, in order to about, because of from, by means of direction towards, to in hostile sense against ethic dative ...			
211	ⲟⲓ	VSTAT	ⲓⲣⲓ	ⲉⲓⲣⲉ	ⲟ	C951	act; become, befall; do	1	1	1	1	1	58	83a	(intransitive) S,A,B,F ― act (ποιειν, πρασσειν) ― become, befall (ειναι, γινεσθαι) ― c dat (transitive) ― make, do ― make, bear fruit ― pass time ― make total, amount to ― make price, value at ― as vb of direction			
212	ⲟⲓ	VSTAT	ⲁⲓⲁⲓ	ⲁⲓⲁⲓ	ⲟⲓ	C19	to increase	0	0	0	0	0	58	_	_			
