tla	cop	egy_num	egy_lemma	demo_num	demo_lemma	english	german	tla_link	tla_link_d	MT
C80	ⲁⲁⲙ	35700	ꜥꜥꜣm	NA	NA	[a plant (med.)]	[Pflanze (offizinell)]	https://thesaurus-linguae-aegyptiae.de/lemma/35700	_	0
C82	ⲁⲙⲉ	35400	ꜥꜣm	d854	ꜥꜣm	Asiatic	Asiat	https://thesaurus-linguae-aegyptiae.de/lemma/35400	https://thesaurus-linguae-aegyptiae.de/lemma/d854	0
C86	ⲁⲙⲁⲗⲏϫ	164780	knm	NA	NA	to wrap in	einhüllen (in ein Gewand)	https://thesaurus-linguae-aegyptiae.de/lemma/164780	_	0
C89	ⲁⲙⲓⲛ	69630	mn	d2424	mn	[a jug (for wine, beer)]	[Krug (für Wein, Bier)]; [Gefäß (für Weihrauch)]	https://thesaurus-linguae-aegyptiae.de/lemma/69630	https://thesaurus-linguae-aegyptiae.de/lemma/d2424	0
C100	ⲁⲙⲟⲩⲛ	26060	Jmn	d505	I ͗mn	Amun	Amun	https://thesaurus-linguae-aegyptiae.de/lemma/26060	https://thesaurus-linguae-aegyptiae.de/lemma/d505	0
C101	ⲁⲙⲓⲛⲁⲕⲟⲩ	NA	NA	d107	ꜣmwnjꜥk	Styrax, ammonia [Greek: ammoniakon or ammoniakê]	Styrax, Ammoniak [griech. ammoniakon bzw. ammoniakê]	_	https://thesaurus-linguae-aegyptiae.de/lemma/d107	1
C102	ⲁⲙⲛⲧⲉ	26180	jmn.tjt	dm127	ı ͗mnt.t	west	Westen	https://thesaurus-linguae-aegyptiae.de/lemma/26180	https://thesaurus-linguae-aegyptiae.de/lemma/dm127	0
C103	ⲁⲙⲣⲉ	37910	ꜥmr	d970	ꜥmr	baker	Bäcker	https://thesaurus-linguae-aegyptiae.de/lemma/37910	https://thesaurus-linguae-aegyptiae.de/lemma/d970	0
C106	ⲁⲙⲣⲏϩⲉ	72800	mrḥ	d2552	mrḥ	pitch	Asphalt	https://thesaurus-linguae-aegyptiae.de/lemma/72800	https://thesaurus-linguae-aegyptiae.de/lemma/d2552	0
C108	ⲁⲙϣⲓ	74240	mḫꜣ	NA	NA	rope	Fessel; Schleife; Seil	https://thesaurus-linguae-aegyptiae.de/lemma/74240	_	0
C109	ⲁⲙϩⲣⲏⲣⲉ	NA	NA	d2665	mẖrr	[under]	Skarabäus	_	https://thesaurus-linguae-aegyptiae.de/lemma/d2665	0
C110	ⲁⲙⲁϩⲧⲉ	73300	mḥ	d111	ꜣmḥṱ	to hold; to sieze	fassen; packen	https://thesaurus-linguae-aegyptiae.de/lemma/73300	https://thesaurus-linguae-aegyptiae.de/lemma/d111	0
C120	ⲁⲛ	26700	jn	d529	ı ͗n	[Negation amplification according to bn]	[Negationsverstärkung nach bn]	https://thesaurus-linguae-aegyptiae.de/lemma/26700	https://thesaurus-linguae-aegyptiae.de/lemma/d529	1
C121	ⲁⲛ-	34760	ꜥꜣ	NA	NA	great one; elder; leader	der Große; der Ältere; der Vornehme	https://thesaurus-linguae-aegyptiae.de/lemma/34760	_	0
C125	ⲁⲛⲍⲏⲃⲉ	34730	ꜥ.t-sbꜣ.w	d799	ꜥ.t-(n-)sbꜣ	school	Schule	https://thesaurus-linguae-aegyptiae.de/lemma/34730	https://thesaurus-linguae-aegyptiae.de/lemma/d799	0
C126	ⲁⲛⲁⲓ	38070	ꜥni̯	NA	NA	to be beautiful; to be kind; to be pleasing	schön sein; freundlich sein	https://thesaurus-linguae-aegyptiae.de/lemma/38070	_	0
C127	ⲁⲛⲁⲓ	600622	ꜥn.w	dm7797	ꜥn	beauty	Schönheit	https://thesaurus-linguae-aegyptiae.de/lemma/600622	https://thesaurus-linguae-aegyptiae.de/lemma/dm7797	0
C133	ⲁⲛⲑⲟⲩⲥ	107380	ḥntꜣsw	dm1410	ḥnṱs	lizard (med.)	Eidechse	https://thesaurus-linguae-aegyptiae.de/lemma/107380	https://thesaurus-linguae-aegyptiae.de/lemma/dm1410	0
C135	ⲁⲛⲟⲕ	27940	jnk	d590	ı ͗nk(j)	I [indepen. pron., 1st per. sing.]	ich [Selbst. Pron. sg.1.c]	https://thesaurus-linguae-aegyptiae.de/lemma/27940	https://thesaurus-linguae-aegyptiae.de/lemma/d590	0
C137	ⲁⲛⲓⲕⲁⲙ	27660	jnr-km	dm3080	ı ͗nj-km	black granite (lit. black stone)	schwarzer Granit	https://thesaurus-linguae-aegyptiae.de/lemma/27660	https://thesaurus-linguae-aegyptiae.de/lemma/dm3080	0
C138	ⲁⲛⲟⲙ	27420	jnm	d124	ꜣnm(m)	skin (of a man); hide (of an animal); skin color	Haut (von Mensch und Tier); Färbung	https://thesaurus-linguae-aegyptiae.de/lemma/27420	https://thesaurus-linguae-aegyptiae.de/lemma/d124	0
C142	ⲁⲛⲟⲛ	27490	jnn	d582	ı ͗nn	we; of ours	wir [Selbst. Pron. pl.1.c.] (NÄg)	https://thesaurus-linguae-aegyptiae.de/lemma/27490	https://thesaurus-linguae-aegyptiae.de/lemma/d582	0
C145	ⲁⲛⲟⲩⲡ	27360	Jnp.w	d579	I ͗np	Anubis	Anubis	https://thesaurus-linguae-aegyptiae.de/lemma/27360	https://thesaurus-linguae-aegyptiae.de/lemma/d579	0
C152	ⲁⲛⲧⲁϣ	39580	ꜥrš	NA	NA	[something negative relating to the nose (sneezing?)]	[etwas Schlechtes von der Nase (Niesen)]	https://thesaurus-linguae-aegyptiae.de/lemma/39580	_	0
C154	ⲁⲛⲁϣ	38560	ꜥnḫ	d996	ꜥnḫ	oath	Eid; Schwur	https://thesaurus-linguae-aegyptiae.de/lemma/38560	https://thesaurus-linguae-aegyptiae.de/lemma/d996	0
C158	ⲁⲛⲁϣ	38590	ꜥnḫ	d998	ꜥnḫ	garland; bouquet	Blumenstrauß; Gebinde	https://thesaurus-linguae-aegyptiae.de/lemma/38590	https://thesaurus-linguae-aegyptiae.de/lemma/d998	0
C159	ⲁⲛϣⲓⲣⲓ	NA	NA	d133	ꜣnḏrꜣ	bean	Bohne	_	https://thesaurus-linguae-aegyptiae.de/lemma/d133	1
C161	ⲁⲛϩ	27730	jnḥ.w	dm43	ı ͗nḥ	border	Einfassung (eines Bildes)	https://thesaurus-linguae-aegyptiae.de/lemma/27730	https://thesaurus-linguae-aegyptiae.de/lemma/dm43	0
C163	ⲁⲛϩⲟⲩⲣⲉ	26850	Jn-ḥr.t	d566	I ͗n-ḥr	Onuris	Onuris	https://thesaurus-linguae-aegyptiae.de/lemma/26850	https://thesaurus-linguae-aegyptiae.de/lemma/d566	0
C165	ⲁⲡⲉ	170920	tp.t	d930	ꜥp(e.t)	head (as a part of the body)	Kopf (als Körperteil)	https://thesaurus-linguae-aegyptiae.de/lemma/170920	https://thesaurus-linguae-aegyptiae.de/lemma/d930	0
C174	ⲁⲡⲉⲓ	24250	jpꜣ	NA	NA	red dye (madder)	[roter pflanzl. Farbstoff (Krapp)]	https://thesaurus-linguae-aegyptiae.de/lemma/24250	_	0
C179	ⲁⲡⲟⲧ	24480	jpt	d473	ı ͗pt	[a mug (?)]	[Becher]	https://thesaurus-linguae-aegyptiae.de/lemma/24480	https://thesaurus-linguae-aegyptiae.de/lemma/d473	0
C182	ⲁⲣⲁ	28730	jr.j-ꜥꜣ	dm38	ı ͗rj-ꜥꜣ	doorkeeper	Pförtner; Hauswächter	https://thesaurus-linguae-aegyptiae.de/lemma/28730	https://thesaurus-linguae-aegyptiae.de/lemma/dm38	0
C183	ⲁⲣⲁ	28730	jr.j-ꜥꜣ	dm38	ı ͗rj-ꜥꜣ	doorkeeper	Pförtner; Hauswächter	https://thesaurus-linguae-aegyptiae.de/lemma/28730	https://thesaurus-linguae-aegyptiae.de/lemma/dm38	0
C188	ⲁⲣⲏⲃ	39480	ꜥrb.t	d174	ꜣlb	pledge	Pfand	https://thesaurus-linguae-aegyptiae.de/lemma/39480	https://thesaurus-linguae-aegyptiae.de/lemma/d174	0
C196	ⲁⲣⲟⲩ	29570	jrw.t	NA	NA	[a vessel]	[ein Gefäß]	https://thesaurus-linguae-aegyptiae.de/lemma/29570	_	0
C197	ⲁⲣⲏⲩ	NA	NA	d1033	ꜥrw	[perhaps]	vielleicht	_	https://thesaurus-linguae-aegyptiae.de/lemma/d1033	0
C200	ⲁⲣⲟϣ	NA	NA	d650	ı ͗rš	[to grill; to roast]	kalt	_	https://thesaurus-linguae-aegyptiae.de/lemma/d650	0
C202	ⲁⲣϣⲓⲛ	39590	ꜥršn	dm7537	ꜥršjn	lentils (Sem. loan word)	Linsen	https://thesaurus-linguae-aegyptiae.de/lemma/39590	https://thesaurus-linguae-aegyptiae.de/lemma/dm7537	0
C204	ⲁⲣⲏϫ⸗	184990	ḏr.w	NA	NA	end; limit; boundary	Ende; Grenze; Bereich	https://thesaurus-linguae-aegyptiae.de/lemma/184990	_	0
C207	ⲁⲥ	31040	jz	d692	ı ͗s(j)	(to be?) old; (to be?) used	alt	https://thesaurus-linguae-aegyptiae.de/lemma/31040	https://thesaurus-linguae-aegyptiae.de/lemma/d692	0
C213	ⲁⲥⲟⲩ	31330	jsw	d703	ı ͗sw(j.t)	payment; equivalent	Gegenleistung; Lohn	https://thesaurus-linguae-aegyptiae.de/lemma/31330	https://thesaurus-linguae-aegyptiae.de/lemma/d703	0
C216	ⲁⲥⲁⲓ	31240	jzj	dm650	ꜣsw	to be light (of weight)	leicht sein	https://thesaurus-linguae-aegyptiae.de/lemma/31240	https://thesaurus-linguae-aegyptiae.de/lemma/dm650	0
C225	ⲁⲥⲡⲉ	31450	jsp.t	d220	ꜣspj	language; speech	Sprache	https://thesaurus-linguae-aegyptiae.de/lemma/31450	https://thesaurus-linguae-aegyptiae.de/lemma/d220	0
C226	ⲁⲥⲏⲣ	49600	wsr.w	dm8037	wsr	strength; wealth	Macht; Reichtum	https://thesaurus-linguae-aegyptiae.de/lemma/49600	https://thesaurus-linguae-aegyptiae.de/lemma/dm8037	0
C227	ⲁⲥⲟⲩⲓ	27860	jns	d218	ꜣsw(ꜣ).t	testicles	Hoden	https://thesaurus-linguae-aegyptiae.de/lemma/27860	https://thesaurus-linguae-aegyptiae.de/lemma/d218	0
C233	ⲁⲧ-	22030	jw.tj	d432	ı ͗wtj	who not; which not (neg. rel. adj.)	welcher nicht (neg. Rel.Pron)	https://thesaurus-linguae-aegyptiae.de/lemma/22030	https://thesaurus-linguae-aegyptiae.de/lemma/d432	0
C235	ⲁⲧⲉ	21190	jꜣd.t	d259	ꜣte(.t)	net (gen.)	Netz (allg.)	https://thesaurus-linguae-aegyptiae.de/lemma/21190	https://thesaurus-linguae-aegyptiae.de/lemma/d259	0
C236	ⲁⲧⲟ	35510	ꜥꜣ.tjt	NA	NA	lot (quantity)	die Größe; Menge	https://thesaurus-linguae-aegyptiae.de/lemma/35510	_	0
C237	ⲁⲧⲟⲩⲙ	33040	Jtm.w	d735	I ͗tm	Atum	Atum	https://thesaurus-linguae-aegyptiae.de/lemma/33040	https://thesaurus-linguae-aegyptiae.de/lemma/d735	0
C241	ⲁⲩⲁⲛ	22570	jwn	d404	ı ͗wn	color	Farbe; Wesen	https://thesaurus-linguae-aegyptiae.de/lemma/22570	https://thesaurus-linguae-aegyptiae.de/lemma/d404	0
C243	ⲁⲩⲁⲛⲙⲡⲉ	22720	jwn-n-p.t	NA	NA	color-of-heaven (a plant)	Farbe des Himmels (eine Blume)	https://thesaurus-linguae-aegyptiae.de/lemma/22720	_	0
C245	ⲁⲩⲓⲛ	27090	jn.wt	d403	ı ͗wn	freight (?)	Schiffsladung (?)	https://thesaurus-linguae-aegyptiae.de/lemma/27090	https://thesaurus-linguae-aegyptiae.de/lemma/d403	0
C247	ⲁⲩⲏⲧ	23240	jwd.t	NA	NA	parting (?)	Trennung	https://thesaurus-linguae-aegyptiae.de/lemma/23240	_	0
C249	ⲁⲫⲱⲫ	35360	Ꜥꜣpp	dm759	ꜥpp	Apophis	Apophis (Schlangengott, Götterfeind)	https://thesaurus-linguae-aegyptiae.de/lemma/35360	https://thesaurus-linguae-aegyptiae.de/lemma/dm759	0
C250	ⲁϣ	30740	jḫ	d673	ı ͗ḫ	what? [interrog. pron.]	[Fragewort]	https://thesaurus-linguae-aegyptiae.de/lemma/30740	https://thesaurus-linguae-aegyptiae.de/lemma/d673	0
C251	ⲁϣ	30740	jḫ	d673	ı ͗ḫ	what? [interrog. pron.]	[Fragewort]	https://thesaurus-linguae-aegyptiae.de/lemma/30740	https://thesaurus-linguae-aegyptiae.de/lemma/d673	0
C252	ⲁϣ	40500	ꜥḫ	d1083	ꜥḫ(e)	brazier	Feuerbecken	https://thesaurus-linguae-aegyptiae.de/lemma/40500	https://thesaurus-linguae-aegyptiae.de/lemma/d1083	0
C255	ⲁϣⲁⲓ	41010	ꜥšꜣ	d1112	ꜥšꜣ	to be numerous; to be rich	viel sein; zahlreich sein; reich sein	https://thesaurus-linguae-aegyptiae.de/lemma/41010	https://thesaurus-linguae-aegyptiae.de/lemma/d1112	0
C256	ⲟϣ	41010	ꜥšꜣ	d1112	ꜥšꜣ	to be numerous; to be rich	viel sein; zahlreich sein; reich sein	https://thesaurus-linguae-aegyptiae.de/lemma/41010	https://thesaurus-linguae-aegyptiae.de/lemma/d1112	0
C257	ⲁϣⲁⲓ	41020	ꜥšꜣ	dm6425	ꜥšꜣ	quantity; multitude	Menge; Vielheit	https://thesaurus-linguae-aegyptiae.de/lemma/41020	https://thesaurus-linguae-aegyptiae.de/lemma/dm6425	0
C261	ⲁϣⲏ	41050	ꜥšꜣ.wt	d1113	ꜥšꜣ.t	multitude; the many (people)	Menge; Masse; Volk	https://thesaurus-linguae-aegyptiae.de/lemma/41050	https://thesaurus-linguae-aegyptiae.de/lemma/d1113	0
C262	ⲁϣⲓⲣⲁ	41040	ꜥšꜣ	NA	NA	lizard	Eidechse; Gecko	https://thesaurus-linguae-aegyptiae.de/lemma/41040	_	0
C266	ⲁϥ	22520	jwf	d400	ı ͗wf	flesh; meat	Fleisch; Körper	https://thesaurus-linguae-aegyptiae.de/lemma/22520	https://thesaurus-linguae-aegyptiae.de/lemma/d400	0
C270	ⲁϥ	37370	ꜥff	d941	ꜥf	fly	Fliege	https://thesaurus-linguae-aegyptiae.de/lemma/37370	https://thesaurus-linguae-aegyptiae.de/lemma/d941	0
C271	ⲁϥ	37370	ꜥff	d941	ꜥf	fly	Fliege	https://thesaurus-linguae-aegyptiae.de/lemma/37370	https://thesaurus-linguae-aegyptiae.de/lemma/d941	0
C275	ⲁϥϫⲓⲣ	119	ꜣfi̯	d99	ꜣfꜥ	to gorge oneself	(gierig) essen	https://thesaurus-linguae-aegyptiae.de/lemma/119	https://thesaurus-linguae-aegyptiae.de/lemma/d99	0
C279	ⲁϧⲱⲓⲣⲓ	861043	jḫr	NA	NA	spitting cobra	Speikobra	https://thesaurus-linguae-aegyptiae.de/lemma/861043	_	1
C284	ⲁϩⲉ	40480	ꜥḥꜥ.w	d1073	ꜥḥꜥ	lifetime; duration	Lebenszeit; Zeit	https://thesaurus-linguae-aegyptiae.de/lemma/40480	https://thesaurus-linguae-aegyptiae.de/lemma/d1073	0
C291	ⲁϩⲟ	40280	ꜥḥꜥ.w	NA	NA	heap(s); quantity (math.)	Haufen; Fülle; Reichtum; Größe (math.)	https://thesaurus-linguae-aegyptiae.de/lemma/40280	_	0
C295	ⲁϩⲟⲙ	850149	jhm	d189	ꜣhm	suffering; pain	Leid; Schmerz	https://thesaurus-linguae-aegyptiae.de/lemma/850149	https://thesaurus-linguae-aegyptiae.de/lemma/d189	0
C296	ⲁϩⲱⲙ	858543	ꜥẖm	d1095	ꜥẖm	falcon; eagle	Falke; Adler	https://thesaurus-linguae-aegyptiae.de/lemma/858543	https://thesaurus-linguae-aegyptiae.de/lemma/d1095	1
C297	ⲁϩⲁⲛ	98590	r-hn-r	d3378	(r-)hn-(r)	extending to; up to	sich erstreckend nach; bis	https://thesaurus-linguae-aegyptiae.de/lemma/98590	https://thesaurus-linguae-aegyptiae.de/lemma/d3378	1
C298	ⲁϩⲣ	198	ꜣḫ	d204	ꜣẖj	papyrus thicket	Papyrusdickicht	https://thesaurus-linguae-aegyptiae.de/lemma/198	https://thesaurus-linguae-aegyptiae.de/lemma/d204	0
C299	ⲁϩⲣⲟ⸗	NA	NA	dm400	ı ͗ḫ-r=	what is (with) ..., that, why	was ist (mit) ..., dass, wieso	_	https://thesaurus-linguae-aegyptiae.de/lemma/dm400	1
C301	ⲁϫⲱ	43760	Wꜣḏ.t	d1227	Wꜣḏ.t	Wadjet (cobra goddess of Lower Egypt)	Wadjet (Schlange von U.Äg.)	https://thesaurus-linguae-aegyptiae.de/lemma/43760	https://thesaurus-linguae-aegyptiae.de/lemma/d1227	0
C303	ⲁϭⲃⲉⲥ	314	ꜣgb.w	NA	NA	flood; abundance	Flut; Fülle	https://thesaurus-linguae-aegyptiae.de/lemma/314	_	0
C304	ⲁϭⲟⲗⲧⲉ	41770	ꜥgrt	d1143	ꜥklṱꜣ.t	wagon (drawn by oxen) (Sem. loan word)	Wagen	https://thesaurus-linguae-aegyptiae.de/lemma/41770	https://thesaurus-linguae-aegyptiae.de/lemma/d1143	0
C305	ⲁϭⲛⲓ	863009	ꜥḏn.t	d1166	ꜥḏn	[Noun]	[Substantiv]	https://thesaurus-linguae-aegyptiae.de/lemma/863009	https://thesaurus-linguae-aegyptiae.de/lemma/d1166	1
C306	ⲁϭⲛⲓ	863009	ꜥḏn.t	d1166	ꜥḏn	[Noun]	[Substantiv]	https://thesaurus-linguae-aegyptiae.de/lemma/863009	https://thesaurus-linguae-aegyptiae.de/lemma/d1166	1
C312	ⲁϭⲟⲛ	41730	ꜥgn	d1137	ꜥkn	ringstand (Sem. loan word)	Kruguntersatz	https://thesaurus-linguae-aegyptiae.de/lemma/41730	https://thesaurus-linguae-aegyptiae.de/lemma/d1137	0
C318	ⲃⲁⲓ	54870	bꜥj	d1677	bꜥj	rod of palm	Palmenrippe	https://thesaurus-linguae-aegyptiae.de/lemma/54870	https://thesaurus-linguae-aegyptiae.de/lemma/d1677	0
C319	ⲃⲁ	54870	bꜥj	d1677	bꜥj	rod of palm	Palmenrippe	https://thesaurus-linguae-aegyptiae.de/lemma/54870	https://thesaurus-linguae-aegyptiae.de/lemma/d1677	0
C322	ⲃⲏ	53190	bꜣ.y	d1678	bꜥj(.t)	hole	Loch	https://thesaurus-linguae-aegyptiae.de/lemma/53190	https://thesaurus-linguae-aegyptiae.de/lemma/d1678	0
C323	ⲃⲱ	52960	bꜣ.t	d1619	b(e)	bush; shrub	Busch; Gebüsch	https://thesaurus-linguae-aegyptiae.de/lemma/52960	https://thesaurus-linguae-aegyptiae.de/lemma/d1619	0
C324	ⲃⲁⲁⲃⲉ	36660	ꜥbꜥb	NA	NA	to boast; to become excited	prahlen; aufgeregt sein	https://thesaurus-linguae-aegyptiae.de/lemma/36660	_	0
C329	ⲃⲉⲉⲃⲉ	54900	bꜥbꜥ	NA	NA	to bathe; to bubble	blubbern; sprudeln; baden	https://thesaurus-linguae-aegyptiae.de/lemma/54900	_	0
C333	ⲃⲏⲃ	53420	bꜣbꜣ	NA	NA	hole; cavern	Loch; Höhle	https://thesaurus-linguae-aegyptiae.de/lemma/53420	_	0
C336	ⲃⲟⲩⲃⲟⲩ	36670	ꜥbꜥb	d1700	bwbw(e)	to appear; to shine	scheinen; glänzen	https://thesaurus-linguae-aegyptiae.de/lemma/36670	https://thesaurus-linguae-aegyptiae.de/lemma/d1700	0
C337	ⲃⲁⲓ	52810	bꜣ	NA	NA	[a stork]	[ein Vogel (ein Storch)]	https://thesaurus-linguae-aegyptiae.de/lemma/52810	_	0
C338	ⲃⲁⲓ	NA	NA	d1648	bj	[Ba]	Ba, Seele	_	https://thesaurus-linguae-aegyptiae.de/lemma/d1648	0
C341	ⲃⲟⲓⲛⲉ	54650	bjn.t	d1660	bjn.t	harp	Harfe	https://thesaurus-linguae-aegyptiae.de/lemma/54650	https://thesaurus-linguae-aegyptiae.de/lemma/d1660	0
C344	ⲃⲟⲉⲓⲧ	52590	wḏ.w	NA	NA	cattle	[frei umherschweifende Rinder]	https://thesaurus-linguae-aegyptiae.de/lemma/52590	_	0
C345	ⲃⲟⲉⲓⲧ	52590	wḏ.w	NA	NA	cattle	[frei umherschweifende Rinder]	https://thesaurus-linguae-aegyptiae.de/lemma/52590	_	0
C347	ⲃⲁⲕⲓ	53920	bꜣkꜣ.t	NA	NA	plot; precinct; town	Grundstück; Bezirk; Stadt	https://thesaurus-linguae-aegyptiae.de/lemma/53920	_	0
C350	ⲃⲉⲕⲉ	53820	bꜣk.w	d1809	b(ꜣ)k	task; labor	Arbeit; Arbeitsleistung	https://thesaurus-linguae-aegyptiae.de/lemma/53820	https://thesaurus-linguae-aegyptiae.de/lemma/d1809	0
C361	ⲃⲏⲕⲉ	53840	bꜣk	dm236	bꜣk.t	[a device used during a siege (stone thrower?)]	Plattform, Rampe; Tribüne	https://thesaurus-linguae-aegyptiae.de/lemma/53840	https://thesaurus-linguae-aegyptiae.de/lemma/dm236	0
C363	ⲃⲟⲕⲓ	57820	bkꜣ	dm6256	bk	to be (become) pregnant; to make pregnant	schwanger sein; schwängern	https://thesaurus-linguae-aegyptiae.de/lemma/57820	https://thesaurus-linguae-aegyptiae.de/lemma/dm6256	0
C391	ⲃⲱⲕ	53830	bꜣk	d1810	bꜣk	servant; underling	Diener; Untergebener	https://thesaurus-linguae-aegyptiae.de/lemma/53830	https://thesaurus-linguae-aegyptiae.de/lemma/d1810	0
C397	ⲃⲱⲕⲓ	53870	bꜣk.t	d1818	bꜣk.t	servant	Dienerin	https://thesaurus-linguae-aegyptiae.de/lemma/53870	https://thesaurus-linguae-aegyptiae.de/lemma/d1818	0
C400	ⲃⲁⲗ	56270	br	d1756	bl	eyeball; eye	Augapfel; Auge	https://thesaurus-linguae-aegyptiae.de/lemma/56270	https://thesaurus-linguae-aegyptiae.de/lemma/d1756	0
C404	ⲃⲱⲗ	55510	bnu̯	d1759	blꜣ	to escape; to depart	entkommen; abgehen	https://thesaurus-linguae-aegyptiae.de/lemma/55510	https://thesaurus-linguae-aegyptiae.de/lemma/d1759	0
C415	ⲃⲟⲗ	55920	bnr.w	d1735	bnr	outside	das Außen; Außenseite	https://thesaurus-linguae-aegyptiae.de/lemma/55920	https://thesaurus-linguae-aegyptiae.de/lemma/d1735	0
